,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
0,10.0,1.0,5.0,0.0,133.93412399337183,0.5814745102995575,0.0,g1t10,1.0,10.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,5.0,3.0,2.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,5.0,0.0,3.0,2.0,3.0,2.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0
2,12.0,1.0,7.0,0.0,125.26430668163259,-0.5696772864023927,1.0,g1t12,1.0,12.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0
4,13.0,1.0,6.0,0.0,119.7508384330314,0.5337006257840906,1.0,g1t13,1.0,13.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0,0.0,1.0,4.0,1.0,4.0,0.0,5.0,3.0,2.0,0.0,5.0,1.0,4.0,5.0,0.0,4.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,0.0,5.0
6,3.0,2.0,6.0,0.0,207.34909530008332,0.5206964907669338,0.0,g2t3,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,4.0,1.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,5.0,0.0,4.0,1.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,5.0,0.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,0.0,5.0,1.0,4.0
8,4.0,2.0,23.0,0.0,212.49466049609623,-0.24106040427049777,6.0,g2t4,2.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,0.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,5.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0
10,7.0,2.0,8.0,0.0,217.12351655756677,0.743719485769842,1.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,0.0,5.0,3.0,2.0,4.0,1.0
12,8.0,2.0,57.0,0.0,230.41396284974553,0.14736174341213898,1.0,g2t8,2.0,8.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,2.0,3.0,5.0,0.0,1.0,4.0,4.0,1.0,0.0,5.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0
14,10.0,2.0,28.0,0.0,223.18744914440015,0.31482102216375024,3.0,g2t10,2.0,10.0,0.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,0.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,3.0,5.0,0.0,4.0,1.0,0.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0
16,11.0,2.0,9.0,0.0,207.10046072182465,-0.6490417101026856,2.0,g2t11,2.0,11.0,0.0,5.0,2.0,3.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0
18,12.0,2.0,8.0,0.0,215.61464450704432,0.7446279397393337,3.0,g2t12,2.0,12.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,5.0,0.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,5.0,0.0,2.0,3.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0
